air_conditioner,bath_num,chimney,condition,garage,garden,house_type,m2_real,price,room_num,storage_room,swimming_pool,terrace,latitude,longitude,address,p_code,region,municipality
0,2,0,Fixer-upper,Not Included,0,Apartment,135,390000.0,5,0,0,0,43.2619064,-2.9452883,"11, Calle José María Escuza, Autonomia, Indauchu, Abando, Bilbao, Vizcaya, País Vasco, 48013, España",48013,País Vasco,Abando
0,3,0,Resale,Not Included,0,Apartment,139,450000.0,4,0,0,1,43.259722,-2.936944,"Centro Azkuna, 4, Alameda San Mamés, Autonomia, Indauchu, Abando, Bilbao, Vizcaya, País Vasco, 48010, España",48010,País Vasco,Abando
0,3,0,Resale,Separate Purchase,0,Apartment,220,900000.0,4,1,0,0,43.2588194,-2.9351156,"25, Calle Fernández del Campo, Abando, Bilbao, Vizcaya, País Vasco, 48010, España",48010,País Vasco,Abando
0,2,0,Resale,Not Included,0,Apartment,188,780000.0,4,0,0,1,43.2627422,-2.9398719,"Plaza Emilio Campuzano, Autonomia, Indauchu, Abando, Bilbao, Vizcaya, País Vasco, 48011, España",48011,País Vasco,Abando
1,2,0,Fixer-upper,Not Included,0,Apartment,200,775000.0,4,0,0,0,43.2609464,-2.9468633,"31, Avenida Sabino Arana, Autonomia, Indauchu, Abando, Bilbao, Vizcaya, País Vasco, 48013, España",48013,País Vasco,Abando
0,1,0,Resale,Not Included,0,Apartment,77,312000.0,2,0,0,0,43.2622534,-2.9416534,"46, Calle Licenciado Poza, Autonomia, Indauchu, Abando, Bilbao, Vizcaya, País Vasco, 48011, España",48011,País Vasco,Abando
0,2,0,Resale,Separate Purchase,0,Apartment,188,780000.0,4,0,0,1,43.2627422,-2.9398719,"Plaza Emilio Campuzano, Autonomia, Indauchu, Abando, Bilbao, Vizcaya, País Vasco, 48011, España",48011,País Vasco,Abando
0,2,0,Resale,Not Included,0,Apartment,127,419000.0,3,0,0,1,43.259722,-2.936944,"Centro Azkuna, 4, Alameda San Mamés, Autonomia, Indauchu, Abando, Bilbao, Vizcaya, País Vasco, 48010, España",48010,País Vasco,Abando
0,2,0,Resale,Not Included,0,Apartment,140,445000.0,3,0,0,0,43.259722,-2.936944,"Centro Azkuna, 4, Alameda San Mamés, Autonomia, Indauchu, Abando, Bilbao, Vizcaya, País Vasco, 48010, España",48010,País Vasco,Abando
0,2,0,Resale,Not Included,0,Apartment,156,600000.0,4,0,0,0,43.2613915,-2.9423468,"23, Alameda Doctor Areilza / Areiltza doktorearen zumarkalea, Autonomia, Indauchu, Abando, Bilbao, Vizcaya, País Vasco, 48011, España",48011,País Vasco,Abando
0,3,0,Fixer-upper,Not Included,1,Apartment,145,183000.0,5,1,0,1,43.030613,-2.824787,"Menhir de Arlobi, Camino de Aldarro a Burbona, Dehesas Agregadas de Zuya, Zuya, Estribaciones del Gorbea, Álava, País Vasco, 01139, España",1139,País Vasco,Álava
0,1,1,Fixer-upper,Not Included,1,Mansion,3200,210000.0,5,0,0,0,43.0984935,-2.8359087,"Gallartu, Orozco, Vizcaya, País Vasco, 48410, España",48410,País Vasco,Vizcaya
0,1,0,Resale,Not Included,0,Apartment,75,125000.0,3,0,0,0,43.2086799,-2.7745335,"Lemoa, Lemona, Vizcaya, País Vasco, 48330, España",48330,País Vasco,Vizcaya
0,2,0,Resale,Included,0,Apartment,74,167000.0,3,1,0,0,43.2086013,-2.803398,"Elexalde, Carretera Tarragona-Bilbao, Elexalde, Vedia, Vizcaya, País Vasco, 48390, España",48390,País Vasco,Vizcaya
0,2,0,Resale,Included,0,Apartment,80,199000.0,3,1,0,0,43.2658509,-2.9337936,"Colegio Escolapios Bilbao, 19, Calle Juan Ajuriaguerra, Uribitarte, Abando, Bilbao, Vizcaya, País Vasco, 48009, España",48009,País Vasco,Abando
0,1,0,Resale,Included,0,Apartment,82,170000.0,2,0,0,0,43.20337019999999,-2.7734956,"Larrabeiti, Carretera Tarragona-Bilbao, Lemoa, Lemona, Vizcaya, País Vasco, 48330, España",48330,País Vasco,Vizcaya
0,1,0,Resale,Not Included,0,Apartment,91,160000.0,3,0,0,0,43.0834307,-2.7580701,"Ceánuri, Vizcaya, País Vasco, 48148, España",48148,País Vasco,Ceánuri
0,4,0,Resale,Not Included,1,Townhouse,70,400000.0,4,0,0,0,43.2086175,-2.8020097,"Carretera Tarragona-Bilbao, Bedia, Vedia, Vizcaya, País Vasco, 48390, España",48390,País Vasco,Vizcaya
0,1,0,Resale,Not Included,0,Apartment,94,180000.0,3,1,0,0,43.1643497,-2.7792444,"1, Aramotz Kalea, Elexalde, Igorre, Vizcaya, País Vasco, 48140, España",48140,País Vasco,Vizcaya
0,3,0,Resale,Not Included,1,Single-Family Home,800,480000.0,4,0,0,0,43.1568847,-2.7912765,"26, Arta kalea, Eguzkitxe, Zelaieta, Aránzazu, Vizcaya, País Vasco, 48140, España",48140,País Vasco,Vizcaya
0,1,0,Resale,Not Included,1,Single-Family Home,4500,285000.0,3,0,0,0,43.0834307,-2.7580701,"Ceánuri, Vizcaya, País Vasco, 48148, España",48148,País Vasco,Ceánuri
0,1,0,Resale,Included,0,Apartment,75,150000.0,2,0,0,0,43.2091844,-2.776103,"Lemoa, Lemona, Vizcaya, País Vasco, 48330, España",48330,País Vasco,Vizcaya
0,1,0,Resale,Included,0,Apartment,70,130000.0,3,1,0,0,43.042,-2.65548,"Basogai kalea, Ochandiano, Vizcaya, País Vasco, 48210, España",48210,País Vasco,Vizcaya
0,1,0,Resale,Not Included,0,Apartment,77,113800.0,3,0,0,0,43.177512,-2.902529,"Miravalles, Vizcaya, País Vasco, 48490, España",48490,País Vasco,Vizcaya
0,1,0,Resale,Included,0,Apartment,125,180500.0,2,1,0,0,42.9931237,-3.0095612,"Batzoki, 20, Burgos kalea, Urduña - Orduña, Orduña, Vizcaya, País Vasco, 48460, España",48460,País Vasco,Vizcaya
0,3,0,Resale,Not Included,1,Single-Family Home,1754,890000.0,5,1,1,1,43.1655851,-2.7770214,"28, Calle Elexalde, Garbe, Basarte, Igorre, Vizcaya, País Vasco, 48140, España",48140,País Vasco,Vizcaya
0,1,0,Resale,Included,1,Apartment,50,120000.0,1,0,0,1,43.2108546,-2.7841531,"Lemoa, Durandio, Lemona, Vizcaya, País Vasco, 48330, España",48330,País Vasco,Vizcaya
0,2,0,Resale,Included,1,Apartment,87,198000.0,2,1,0,0,43.2087207,-2.7788996,"Lemoa, Lemona, Vizcaya, País Vasco, 48330, España",48330,País Vasco,Vizcaya
0,1,0,Resale,Not Included,0,Apartment,100,165000.0,3,0,0,0,43.208637,-2.7751137,"Lemoa, Lemona, Vizcaya, País Vasco, 48330, España",48330,País Vasco,Vizcaya
0,2,0,Resale,Included,0,Apartment,101,102800.0,3,1,0,0,43.0426071,-2.6546529,"Urigoiena kalea, Ochandiano, Vizcaya, País Vasco, 48210, España",48210,País Vasco,Vizcaya
0,1,0,Resale,Included,0,Apartment,101,102800.0,1,0,0,0,43.0426071,-2.6546529,"Urigoiena kalea, Ochandiano, Vizcaya, País Vasco, 48210, España",48210,País Vasco,Vizcaya
0,1,0,Resale,Not Included,0,Apartment,62,85000.0,2,0,0,0,43.20337019999999,-2.7734956,"Larrabeiti, Carretera Tarragona-Bilbao, Lemoa, Lemona, Vizcaya, País Vasco, 48330, España",48330,País Vasco,Vizcaya
0,2,0,Resale,Included,0,Duplex,127,240000.0,3,1,0,1,43.1427556,-2.7516752,"Ugarana, Dima, Vizcaya, País Vasco, 48141, España",48141,País Vasco,Vizcaya
0,2,0,Resale,Included,0,Apartment,75,189000.0,2,1,0,0,43.2108783,-2.7834882,"Lemoa, Durandio, Lemona, Vizcaya, País Vasco, 48330, España",48330,País Vasco,Vizcaya
0,1,0,Resale,Not Included,1,Apartment,69,165000.0,3,1,0,1,43.208637,-2.7751137,"Lemoa, Lemona, Vizcaya, País Vasco, 48330, España",48330,País Vasco,Vizcaya
0,1,0,Resale,Not Included,0,Apartment,72,115000.0,2,1,0,1,43.208637,-2.7751137,"Lemoa, Lemona, Vizcaya, País Vasco, 48330, España",48330,País Vasco,Vizcaya
0,2,0,Resale,Included,0,Apartment,104,215000.0,3,1,0,1,43.2102861,-2.7828196,"Lemoa, Durandio, Lemona, Vizcaya, País Vasco, 48330, España",48330,País Vasco,Vizcaya
0,1,0,Resale,Not Included,0,Apartment,92,212500.0,3,0,0,1,43.208637,-2.7751137,"Lemoa, Lemona, Vizcaya, País Vasco, 48330, España",48330,País Vasco,Vizcaya
0,1,0,Fixer-upper,Not Included,0,Single-Family Home,5700,150000.0,1,0,0,0,43.2063442,-2.8121955,"Eroso-Ugarte, Vedia, Vizcaya, País Vasco, 48390, España",48390,País Vasco,Vizcaya
0,1,0,Resale,Not Included,0,Apartment,68,206000.0,2,0,0,0,43.2103719,-2.7786328,"Lemoa, Lemona, Vizcaya, País Vasco, 48330, España",48330,País Vasco,Vizcaya
