air_conditioner,bath_num,chimney,condition,garage,garden,house_type,m2_real,price,room_num,storage_room,swimming_pool,terrace,latitude,longitude,address,p_code,region,municipality
0,1,1,Fixer-upper,Not Included,1,Farmhouse,15000,250000.0,2,0,1,1,39.6959651,2.7002508,"carrer de la Mare de Déu de les Neus, es Garrigó, Buñola, Sierra de Tramontana, Islas Baleares, 07110, España",7110,Islas Baleares,Sierra de Tramontana
0,2,0,Resale,Not Included,1,Single-Family Home,1400,1350000.0,3,0,1,1,39.7479394,2.6483743,"Sa Tanca, Carrer de l'Arxiduc Lluís Salvador, es Clot, Deyá, Sierra de Tramontana, Islas Baleares, 07179, España",7179,Islas Baleares,Sierra de Tramontana
0,1,0,Resale,Not Included,0,Apartment,180,315000.0,2,0,0,1,39.6959651,2.7002508,"carrer de la Mare de Déu de les Neus, es Garrigó, Buñola, Sierra de Tramontana, Islas Baleares, 07110, España",7110,Islas Baleares,Sierra de Tramontana
1,4,0,Resale,Included,1,Single-Family Home,7000,1300000.0,4,1,1,1,39.6965072,2.6878301,"Carretera Palma - Port de Sóller, Buñola, Sierra de Tramontana, Islas Baleares, 07110, España",7110,Islas Baleares,Sierra de Tramontana
1,2,0,Resale,Included,0,Apartment,160,320000.0,2,1,1,1,39.6978109,2.6948003,"costa de s'Estació, Buñola, Sierra de Tramontana, Islas Baleares, 07110, España",7110,Islas Baleares,Sierra de Tramontana
0,1,0,Resale,Not Included,0,Townhouse,150,285000.0,4,0,0,0,39.6959651,2.7002508,"carrer de la Mare de Déu de les Neus, es Garrigó, Buñola, Sierra de Tramontana, Islas Baleares, 07110, España",7110,Islas Baleares,Sierra de Tramontana
0,4,0,Resale,Not Included,0,Single-Family Home,2071,1060000.0,6,0,0,0,39.6959651,2.7002508,"carrer de la Mare de Déu de les Neus, es Garrigó, Buñola, Sierra de Tramontana, Islas Baleares, 07110, España",7110,Islas Baleares,Sierra de Tramontana
1,3,1,Resale,Included,1,Farmhouse,16000,1790000.0,4,1,1,1,39.6657806,2.6574465,"Ma-1140, Buñola, Sierra de Tramontana, Islas Baleares, 07193, España",7193,Islas Baleares,Sierra de Tramontana
0,4,0,Resale,Not Included,0,Single-Family Home,7000,1300000.0,4,0,1,1,39.6959651,2.7002508,"carrer de la Mare de Déu de les Neus, es Garrigó, Buñola, Sierra de Tramontana, Islas Baleares, 07110, España",7110,Islas Baleares,Sierra de Tramontana
0,2,0,Resale,Included,0,Apartment,94,220000.0,2,0,0,0,39.6959651,2.7002508,"carrer de la Mare de Déu de les Neus, es Garrigó, Buñola, Sierra de Tramontana, Islas Baleares, 07110, España",7110,Islas Baleares,Sierra de Tramontana
0,2,0,Resale,Included,0,Single-Family Home,1194,585000.0,6,0,1,0,39.6612247,2.6698155,"carrer Margalides, Palmanyola, Buñola, Sierra de Tramontana, Islas Baleares, 07193, España",7193,Islas Baleares,Sierra de Tramontana
1,4,0,Resale,Included,1,Single-Family Home,7000,1300000.0,4,1,1,1,39.6959651,2.7002508,"carrer de la Mare de Déu de les Neus, es Garrigó, Buñola, Sierra de Tramontana, Islas Baleares, 07110, España",7110,Islas Baleares,Sierra de Tramontana
0,3,0,Resale,Included,1,Single-Family Home,2000,860000.0,5,0,0,0,39.6959651,2.7002508,"carrer de la Mare de Déu de les Neus, es Garrigó, Buñola, Sierra de Tramontana, Islas Baleares, 07110, España",7110,Islas Baleares,Sierra de Tramontana
0,2,0,Resale,Not Included,0,Single-Family Home,92,450000.0,2,0,1,0,39.6959651,2.7002508,"carrer de la Mare de Déu de les Neus, es Garrigó, Buñola, Sierra de Tramontana, Islas Baleares, 07110, España",7110,Islas Baleares,Sierra de Tramontana
0,1,0,Fixer-upper,Not Included,0,Apartment,120,220000.0,4,1,0,1,39.6959651,2.7002508,"carrer de la Mare de Déu de les Neus, es Garrigó, Buñola, Sierra de Tramontana, Islas Baleares, 07110, España",7110,Islas Baleares,Sierra de Tramontana
0,2,0,Resale,Not Included,0,Farmhouse,240,900000.0,4,0,0,0,39.6959651,2.7002508,"carrer de la Mare de Déu de les Neus, es Garrigó, Buñola, Sierra de Tramontana, Islas Baleares, 07110, España",7110,Islas Baleares,Sierra de Tramontana
0,2,0,Resale,Not Included,0,Single-Family Home,40,470000.0,2,0,0,0,39.6959651,2.7002508,"carrer de la Mare de Déu de les Neus, es Garrigó, Buñola, Sierra de Tramontana, Islas Baleares, 07110, España",7110,Islas Baleares,Sierra de Tramontana
