air_conditioner,bath_num,chimney,condition,garage,garden,house_type,m2_real,price,room_num,storage_room,swimming_pool,terrace,latitude,longitude,address,p_code,region,municipality
1,1,0,Resale,Not Included,1,Single-Family Home,11300,120000.0,2,1,0,1,38.7648204,-0.6057145,"Calle de la Via, la Colmena (Margarita Macip), Bocairente, La Vall d'Albaida, Valencia, Comunidad Valenciana, 46880, España",46880,Comunidad Valenciana,Valencia
0,2,0,Resale,Not Included,0,Rural House,283,95000.0,4,0,0,0,38.4266474,-1.1638893,"Senda al Pozo de Nieve, Jumilla, Altiplano, Región de Murcia, España",30528,Región de Murcia,Altiplano
0,3,1,Resale,Not Included,1,Rural House,5000,240000.0,6,1,1,1,38.6111564,-1.1051073,"194, Calle San Ramón, Yecla, Altiplano, Región de Murcia, 30510, España",30510,Región de Murcia,Altiplano
0,1,1,Resale,Included,1,Cottage,1200,200000.0,3,1,0,0,40.4167754,-3.7037902,"Puerta del Sol, Plaza de la Puerta del Sol, Barrio de los Austrias, Sol, Centro, Madrid, Comunidad de Madrid, 28013, España",28013,Comunidad de Madrid,Madrid
0,1,0,Fixer-upper,Not Included,0,Apartment,68,39000.0,2,1,0,0,42.5447289,-2.9181582,"Calle de Baños, Casalarreina, La Rioja, 26230, España",26230,La Rioja,Casalarreina
0,3,0,Resale,Not Included,1,Single-Family Home,17000,900000.0,4,0,1,0,42.4324816,-2.4585233,"Autopista del Ebro, Urbanización Las Sabinas, Lardero, La Rioja, 26080, España",26080,La Rioja,Lardero
0,5,0,Resale,Not Included,1,Farmhouse,4052,1700000.0,6,0,1,0,38.92779489999999,1.433503,"Carrer de Lima, Puig d'en Valls, Santa Eulalia del Río, Eivissa, Islas Baleares, 07819, España",07819,Islas Baleares,Eivissa
0,4,0,Resale,Included,0,Single-Family Home,900,2350000.0,5,0,1,0,38.9229539,1.468744,"Can Pep Simó, Urbanització Puig de Can Vinyets, Santa Eulalia del Río, Eivissa, Islas Baleares, 07819, España",07819,Islas Baleares,Eivissa
0,6,0,Resale,Not Included,0,Single-Family Home,17000,4900000.0,7,0,1,1,38.9229539,1.468744,"Can Pep Simó, Urbanització Puig de Can Vinyets, Santa Eulalia del Río, Eivissa, Islas Baleares, 07819, España",07819,Islas Baleares,Eivissa
0,3,0,Resale,Included,1,Single-Family Home,424,720000.0,4,0,1,0,38.9854799,1.5366609,"30, Carrer de Sant Joan, Can Guasch, Urbanització Siesta, Santa Eulalia del Río, Eivissa, Islas Baleares, 07840, España",07840,Islas Baleares,Eivissa
