air_conditioner,bath_num,chimney,condition,garage,garden,house_type,m2_real,price,room_num,storage_room,swimming_pool,terrace,latitude,longitude,address,p_code,region,municipality
0,1,0,Resale,Not Included,0,Studio Apartment,36,59000.0,0,0,0,0,42.26337890000001,3.1524118,"Avinguda de la Platja, Santa Margarida, Roses, Alto Ampurdán, Gerona, Cataluña, 17480, España",17480,Cataluña,Gerona
0,1,0,Resale,Not Included,0,Apartment,45,119900.0,2,0,0,0,42.26247499999999,3.1757286,"Farmàcia Xavier Targa Ballesta, 5, Carrer Doctor Pi i Sunyer, Roses, Alto Ampurdán, Gerona, Cataluña, 17480, España",17480,Cataluña,Gerona
0,1,0,Fixer-upper,Included,0,Apartment,46,126000.0,1,0,1,1,42.2511843,3.1907315,"Carrer Pujada al Puigrom, Santa Rosa de Puig-rom, Roses, Alto Ampurdán, Gerona, Cataluña, 17480, España",17480,Cataluña,Gerona
1,1,0,Resale,Included,1,Apartment,48,112000.0,1,0,1,1,42.2717088,3.1421631,"Carretera Olot a Roses, Santa Margarida, Roses, Alto Ampurdán, Gerona, Cataluña, 17480, España",17480,Cataluña,Gerona
0,2,0,Resale,Not Included,1,Apartment,78,125000.0,2,0,1,1,42.264831,3.1541531,"Carrer Punta del Nord, Santa Margarida, Roses, Alto Ampurdán, Gerona, Cataluña, 17480, España",17480,Cataluña,Gerona
1,1,0,Resale,Not Included,0,Apartment,63,89000.0,3,0,0,0,42.2639489,3.1795528,"Carrer Ramón y Cajal, la Muntanyeta, Roses, Alto Ampurdán, Gerona, Cataluña, 17480, España",17480,Cataluña,Gerona
0,1,0,Resale,Not Included,0,Apartment,50,76600.0,1,0,0,0,42.2631351,3.1467611,"Carrer del Cap Ponent, Santa Margarida, Roses, Alto Ampurdán, Gerona, Cataluña, 17480, España",17480,Cataluña,Gerona
1,1,0,Resale,Not Included,0,Apartment,66,119000.0,2,0,0,0,42.2639489,3.1795528,"Carrer Ramón y Cajal, la Muntanyeta, Roses, Alto Ampurdán, Gerona, Cataluña, 17480, España",17480,Cataluña,Gerona
0,1,0,Resale,Not Included,0,Apartment,70,169500.0,2,0,0,0,42.2487234,3.1868192,"Carrer Joan Luís Vives, Santa Rosa de Puig-rom, Roses, Alto Ampurdán, Gerona, Cataluña, 17480, España",17480,Cataluña,Gerona
1,1,0,Resale,Not Included,1,Apartment,88,155000.0,2,0,1,1,42.264831,3.1541531,"Carrer Punta del Nord, Santa Margarida, Roses, Alto Ampurdán, Gerona, Cataluña, 17480, España",17480,Cataluña,Gerona
0,1,0,Resale,Included,0,Townhouse,110,180000.0,2,1,1,1,42.2535347,3.1889645,"Carrer Víctor Català, Santa Rosa de Puig-rom, Roses, Alto Ampurdán, Gerona, Cataluña, 17480, España",17480,Cataluña,Gerona
0,1,0,Resale,Not Included,0,Apartment,77,155000.0,3,1,0,1,42.2616643,3.1821287,"Carrer Mossèn Carles Feliu, la Muntanyeta, Roses, Alto Ampurdán, Gerona, Cataluña, 17480, España",17480,Cataluña,Gerona
1,2,0,Resale,Not Included,1,Apartment,80,230000.0,3,0,1,1,42.264831,3.1541531,"Carrer Punta del Nord, Santa Margarida, Roses, Alto Ampurdán, Gerona, Cataluña, 17480, España",17480,Cataluña,Gerona
1,1,0,Resale,Included,1,Apartment,80,185000.0,2,1,1,1,42.2715999,3.1404988,"Avinguda Nord, Santa Margarida, Roses, Alto Ampurdán, Gerona, Cataluña, 17480, España",17480,Cataluña,Gerona
0,1,0,Resale,Not Included,0,Single-Family Home,85,210000.0,2,0,0,0,42.2715999,3.1404988,"Avinguda Nord, Santa Margarida, Roses, Alto Ampurdán, Gerona, Cataluña, 17480, España",17480,Cataluña,Gerona
1,1,0,Resale,Not Included,0,Apartment,90,157000.0,3,0,0,0,42.2639489,3.1795528,"Carrer Ramón y Cajal, la Muntanyeta, Roses, Alto Ampurdán, Gerona, Cataluña, 17480, España",17480,Cataluña,Gerona
0,1,0,Resale,Not Included,0,Apartment,75,156000.0,3,0,0,0,42.2611772,3.1782905,"Taberna Las Tablas, 18, Carrer Joan Badosa, els Grecs, Roses, Alto Ampurdán, Gerona, Cataluña, 17480, España",17480,Cataluña,Gerona
1,5,0,Resale,Not Included,1,Single-Family Home,1034,600000.0,5,0,0,1,42.2487234,3.1868192,"Carrer Joan Luís Vives, Santa Rosa de Puig-rom, Roses, Alto Ampurdán, Gerona, Cataluña, 17480, España",17480,Cataluña,Gerona
0,1,0,Resale,Not Included,0,Apartment,70,59752.0,1,0,0,0,42.260777,3.1826255,"Avinguda de Montserrat, la Muntanyeta, Roses, Alto Ampurdán, Gerona, Cataluña, 17480, España",17480,Cataluña,Gerona
0,2,0,Resale,Not Included,1,Apartment,53,170000.0,2,1,1,1,42.2613254,3.1537281,"Santa Margarida, Roses, Alto Ampurdán, Gerona, Cataluña, 17480, España",17480,Cataluña,Gerona
0,2,0,Resale,Not Included,0,Single-Family Home,99,297000.0,2,0,0,1,42.2602235,3.1815937,"Avinguda Jaume I, la Muntanyeta, Roses, Alto Ampurdán, Gerona, Cataluña, 17480, España",17480,Cataluña,Gerona
1,3,0,Resale,Included,0,Semi-Detached House,143,259000.0,4,0,0,1,42.2729605,3.1629199,"Carrer Carlit, el Mas Mates, Roses, Alto Ampurdán, Gerona, Cataluña, 17480, España",17480,Cataluña,Gerona
0,2,0,Resale,Not Included,0,Apartment,100,170000.0,3,0,0,1,42.2715263,3.188636,"Carrer d'Amsterdam, el Mas Oliva, Roses, Alto Ampurdán, Gerona, Cataluña, 17480, España",17480,Cataluña,Gerona
0,1,0,Resale,Included,1,Apartment,58,89000.0,1,0,1,1,42.2715263,3.188636,"Carrer d'Amsterdam, el Mas Oliva, Roses, Alto Ampurdán, Gerona, Cataluña, 17480, España",17480,Cataluña,Gerona
0,1,0,Resale,Included,1,Apartment,34,90000.0,1,0,1,1,42.2715263,3.188636,"Carrer d'Amsterdam, el Mas Oliva, Roses, Alto Ampurdán, Gerona, Cataluña, 17480, España",17480,Cataluña,Gerona
1,1,0,Resale,Included,0,Apartment,90,290000.0,3,0,0,1,42.2487234,3.1868192,"Carrer Joan Luís Vives, Santa Rosa de Puig-rom, Roses, Alto Ampurdán, Gerona, Cataluña, 17480, España",17480,Cataluña,Gerona
1,1,0,Resale,Not Included,0,Apartment,65,162000.0,2,0,0,1,42.2487234,3.1868192,"Carrer Joan Luís Vives, Santa Rosa de Puig-rom, Roses, Alto Ampurdán, Gerona, Cataluña, 17480, España",17480,Cataluña,Gerona
1,3,0,Resale,Included,1,Single-Family Home,650,830000.0,3,1,1,1,42.2487234,3.1868192,"Carrer Joan Luís Vives, Santa Rosa de Puig-rom, Roses, Alto Ampurdán, Gerona, Cataluña, 17480, España",17480,Cataluña,Gerona
1,1,0,Resale,Not Included,1,Single-Family Home,343,296000.0,2,1,1,1,42.2715999,3.1404988,"Avinguda Nord, Santa Margarida, Roses, Alto Ampurdán, Gerona, Cataluña, 17480, España",17480,Cataluña,Gerona
0,1,0,Resale,Not Included,0,Apartment,48,85000.0,1,0,0,1,42.2715999,3.1404988,"Avinguda Nord, Santa Margarida, Roses, Alto Ampurdán, Gerona, Cataluña, 17480, España",17480,Cataluña,Gerona
0,1,0,Resale,Not Included,0,Studio Apartment,35,73000.0,0,0,0,1,42.264831,3.1541531,"Carrer Punta del Nord, Santa Margarida, Roses, Alto Ampurdán, Gerona, Cataluña, 17480, España",17480,Cataluña,Gerona
1,2,0,Resale,Not Included,0,Apartment,132,230000.0,3,1,0,1,42.2639489,3.1795528,"Carrer Ramón y Cajal, la Muntanyeta, Roses, Alto Ampurdán, Gerona, Cataluña, 17480, España",17480,Cataluña,Gerona
