air_conditioner,bath_num,chimney,condition,garage,garden,house_type,m2_real,price,room_num,storage_room,swimming_pool,terrace,latitude,longitude,address,p_code,region,municipality
0,2,0,Resale,Included,1,Single-Family Home,2165,199000.0,6,1,0,1,43.3273018,-8.2166278,"100, Fiobre, Moruxo, Bergondo, La Coruña, Galicia, 15165, España",15165,Galicia,La Coruña
0,2,0,Resale,Included,1,Single-Family Home,1819,350000.0,4,1,1,1,43.3367565,-8.2410564,"Tatín, Ouces, Bergondo, La Coruña, Galicia, 15167, España",15167,Galicia,La Coruña
0,2,0,Resale,Included,1,Single-Family Home,1900,205000.0,2,1,0,1,43.3347657,-8.2510383,"20A, Casal, Silvoso, Ouces, Bergondo, La Coruña, Galicia, 15165, España",15165,Galicia,La Coruña
0,2,0,Resale,Included,1,Single-Family Home,2019,287500.0,7,1,0,1,43.3173256,-8.2163582,"Pazo de Mariñán, 81, Mariñán, Bergondo, La Coruña, Galicia, 15165, España",15165,Galicia,La Coruña
0,2,0,Fixer-upper,Included,0,Single-Family Home,1552,88000.0,4,1,0,1,43.2891384,-8.2540453,"25, Raxás, Vixoi, Bergondo, La Coruña, Galicia, 15165, España",15165,Galicia,La Coruña
0,2,0,Fixer-upper,Not Included,1,Single-Family Home,1474,208000.0,4,0,0,0,43.3102492,-8.4993777,"A Groufa, O Outeiro, Arteixo, La Coruña, Galicia, 15142, España",15142,Galicia,La Coruña
0,4,0,Resale,Included,1,Single-Family Home,2345,310000.0,4,1,1,1,43.2985148,-8.274784,"50, Baldomir, Guísamo, Bergondo, La Coruña, Galicia, 15165, España",15165,Galicia,La Coruña
0,2,0,Fixer-upper,Included,1,Single-Family Home,1324,250000.0,5,1,0,0,43.3135776,-8.231267599999999,"18, Carrio, Bergondo, La Coruña, Galicia, 15165, España",15165,Galicia,La Coruña
0,3,0,Resale,Included,0,Single-Family Home,3247,276000.0,5,0,0,0,43.3623436,-8.4115401,"Parque de Santa Margarita, A Falperra, Santa Margarita, A Coruña, La Coruña, Galicia, 15005, España",15005,Galicia,La Coruña
0,2,0,Resale,Included,0,Single-Family Home,221,289000.0,7,0,0,1,43.3225333,-8.2190764,"Montecelo, Bergondo, La Coruña, Galicia, 15167, España",15167,Galicia,La Coruña
0,3,0,Resale,Included,1,Single-Family Home,473,295000.0,4,1,0,1,43.2986846,-8.2688054,"13, AC-214, Urbanización Os Xirasoles, O Corral da Igrexa, Guísamo, Bergondo, La Coruña, Galicia, 15165, España",15165,Galicia,La Coruña
0,2,0,Fixer-upper,Not Included,0,Single-Family Home,1246,170000.0,3,0,0,1,43.3016963,-8.2563671,"12, Peteiro, Sobre a Igrexa, Rois, Bergondo, La Coruña, Galicia, 15165, España",15165,Galicia,La Coruña
0,3,0,Resale,Included,1,Single-Family Home,1700,379000.0,7,1,0,1,43.3089681,-8.232594299999999,"84, AC-161, A Lameira, Bergondo, La Coruña, Galicia, 15167, España",15167,Galicia,La Coruña
0,4,0,Resale,Included,1,Single-Family Home,1900,350000.0,5,1,0,0,43.3207003,-8.2311488,"AC-164, San Cidre, Bergondo, La Coruña, Galicia, 15167, España",15167,Galicia,La Coruña
0,3,0,Resale,Not Included,1,Single-Family Home,600,250000.0,5,0,0,0,43.2985148,-8.274784,"50, Baldomir, Guísamo, Bergondo, La Coruña, Galicia, 15165, España",15165,Galicia,La Coruña
