air_conditioner,bath_num,chimney,condition,garage,garden,house_type,m2_real,price,room_num,storage_room,swimming_pool,terrace,latitude,longitude,address,p_code,region,municipality
1,4,0,Resale,Included,1,Single-Family Home,500,2200000.0,5,0,1,1,39.6046172,2.6065239,"Camí de Bellagre, Son Roca, Palma, Islas Baleares, 07011, España",07011,Islas Baleares,Palma
1,2,0,Resale,Not Included,0,Apartment,134,390000.0,2,0,0,0,39.5888506,2.6243935,"Camí dels Reis, Son Peretó, Palma, Islas Baleares, 07013, España",07013,Islas Baleares,Palma
1,2,0,Resale,Included,0,Apartment,100,269000.0,3,1,0,0,39.5888506,2.6243935,"Camí dels Reis, Son Peretó, Palma, Islas Baleares, 07013, España",07013,Islas Baleares,Palma
1,2,0,Resale,Included,1,Single-Family Home,460,550000.0,6,1,0,1,39.5888506,2.6243935,"Camí dels Reis, Son Peretó, Palma, Islas Baleares, 07013, España",07013,Islas Baleares,Palma
0,2,0,Resale,Included,0,Apartment,125,370000.0,4,1,0,1,39.5924295,2.6136904,"96, costa de Saragossa, el Patatí, Son Serra, Palma, Islas Baleares, 07011, España",07011,Islas Baleares,Palma
1,4,0,Resale,Included,1,Apartment,230,660000.0,5,0,1,0,39.5888506,2.6243935,"Camí dels Reis, Son Peretó, Palma, Islas Baleares, 07013, España",07013,Islas Baleares,Palma
0,1,0,Resale,Not Included,0,Apartment,50,135000.0,1,0,0,0,39.5874954,2.6276984,"Palau Municipal d'Esports de Son Moix, Camí de la Vileta, Son Peretó, Palma, Islas Baleares, 07013, España",07013,Islas Baleares,Palma
0,3,0,Resale,Included,1,Townhouse,170,494700.0,3,0,0,1,39.5874954,2.6276984,"Palau Municipal d'Esports de Son Moix, Camí de la Vileta, Son Peretó, Palma, Islas Baleares, 07013, España",07013,Islas Baleares,Palma
1,4,0,Resale,Included,1,Single-Family Home,1033,1250000.0,5,1,0,0,39.5888506,2.6243935,"Camí dels Reis, Son Peretó, Palma, Islas Baleares, 07013, España",07013,Islas Baleares,Palma
0,1,0,Resale,Not Included,0,Apartment,81,125000.0,3,0,0,0,39.5888506,2.6243935,"Camí dels Reis, Son Peretó, Palma, Islas Baleares, 07013, España",07013,Islas Baleares,Palma
