air_conditioner,bath_num,chimney,condition,garage,garden,house_type,m2_real,price,room_num,storage_room,swimming_pool,terrace,latitude,longitude,address,p_code,region,municipality
1,2,0,Resale,Not Included,0,Townhouse,180,189950.0,4,0,0,0,37.3764726,-6.0461387,"Calle Francisco Casero, Peralta, Tomares, Sevilla, Andalucía, 41940, España",41940,Andalucía,Sevilla
1,1,0,Resale,Included,0,Apartment,80,108000.0,2,1,0,0,37.3771298,-6.0454023,"Calle Tomás Ibarra, Santa Eufemia, Tomares, Sevilla, Andalucía, 41940, España",41940,Andalucía,Sevilla
0,1,0,Resale,Not Included,0,Single-Family Home,76,92000.0,3,0,0,0,37.375855,-6.0450059,"Calle Martínez Sanz, Santa Eufemia, Tomares, Sevilla, Andalucía, 41940, España",41940,Andalucía,Sevilla
1,1,0,Resale,Not Included,0,Apartment,70,87500.0,3,0,0,0,37.3774047,-6.052619099999999,"Calle Doctor Fleming, Las Almenas, Tomares, Sevilla, Andalucía, 41950, España",41950,Andalucía,Sevilla
0,3,0,Resale,Included,0,Townhouse,170,210000.0,4,0,0,1,37.3725579,-6.050924999999999,"Calle de María Pita, Peralta, Tomares, Sevilla, Andalucía, 41940, España",41940,Andalucía,Sevilla
1,4,0,Resale,Included,1,Single-Family Home,420,689000.0,6,1,1,0,37.3774047,-6.052619099999999,"Calle Doctor Fleming, Las Almenas, Tomares, Sevilla, Andalucía, 41950, España",41950,Andalucía,Sevilla
1,4,0,Resale,Included,1,Single-Family Home,850,430000.0,6,1,1,1,37.379423,-6.0397894,"Calle del Lagar, Santa Eufemia, Tomares, Sevilla, Andalucía, 41910, España",41910,Andalucía,Sevilla
1,3,0,Resale,Not Included,0,Single-Family Home,275,349170.0,4,0,0,1,37.375855,-6.0450059,"Calle Martínez Sanz, Santa Eufemia, Tomares, Sevilla, Andalucía, 41940, España",41940,Andalucía,Sevilla
1,2,0,Resale,Included,0,Townhouse,188,225000.0,3,1,0,1,37.3726929,-6.0467639,"Centro de Salud de Tomares, Avenida del Aljarafe, Barriada de León, Tomares, Sevilla, Andalucía, 41940, España",41940,Andalucía,Sevilla
1,4,0,Resale,Included,0,Townhouse,152,300000.0,4,1,0,1,37.375855,-6.0450059,"Calle Martínez Sanz, Santa Eufemia, Tomares, Sevilla, Andalucía, 41940, España",41940,Andalucía,Sevilla
